Host,business/finance,education/research,entertainment,health/medical,news/press,politics/government/law,sports,tech/science
27997,0.3005855359189955,0.10799088595881655,0.2965332376521858,0.045542952084760994,0.024851804444747532,0.06722143576090649,0.02922683515252802,0.12804731302705927
9316,0.3089375299169903,0.09850408277578998,0.2737429911128538,0.041264045520522596,0.032829276312541636,0.08548075754969814,0.021734505870902893,0.13750681094070058
27045,0.3022728022385927,0.1062179901922332,0.29186680519370994,0.04601851231460334,0.0260662216459132,0.06990665287078278,0.027854638511774252,0.12979637703239066
19805,0.30643935116919047,0.09900201445911418,0.27270849964369526,0.047743558543502665,0.031929445849824475,0.08277109645668808,0.021795427945455022,0.13761060593252997
26580,0.30385653544001634,0.10443536071757598,0.28716700927482613,0.046481751796708784,0.027329819039335915,0.07267210650589744,0.02653699724524229,0.13152041998039724
16886,0.29916325694264023,0.10951665198027316,0.301396908054742,0.04287237129464876,0.024203252173834868,0.06610420687399841,0.02976482619627659,0.12697852648358599
27931,0.3022728022385927,0.1062179901922332,0.29186680519370994,0.04601851231460334,0.0260662216459132,0.06990665287078278,0.027854638511774252,0.12979637703239066
8977,0.30242858411073126,0.10870467111362579,0.303559097430092,0.033540243460754175,0.025457086124971655,0.0700949387069467,0.02904909682507777,0.1271662822278008
20285,0.30015204039706855,0.10817007949422625,0.29697127511857724,0.04553561992788582,0.02481467259369413,0.06717658090171091,0.029081643662842684,0.12809808790399452
2427,0.3057436293331408,0.10201852015605188,0.28104957099008804,0.04626061909285835,0.029285668165692603,0.07704581648811142,0.024576339117219365,0.13401983665683753
1324,0.2992704286029126,0.10905351381054398,0.29929315450153265,0.04529325762910272,0.024226265573269956,0.06586436905896484,0.029785101390558417,0.12721390943311472
25006,0.30294802619221917,0.1073844738460019,0.29828888676082127,0.03747633178538506,0.026070379664261654,0.0709657608237871,0.028154635584517352,0.12871150534300638
13134,0.31198683277673284,0.07905215003137006,0.22256537936701828,0.03939935621175294,0.05372662122060762,0.1285772526730231,0.011628926761448968,0.15306348095804614
