Host,business/finance,education/research,entertainment,health/medical,news/press,politics/government/law,sports,tech/science
27997,0.33522346577599316,0.18042170860539117,0.2299643724779287,0.016306266582492124,0.03321917153694434,0.026958783016316667,0.023294626639730708,0.1546116053652031
9316,0.28393093176226164,0.08155274369232793,0.3442808406988748,0.029586652779896153,0.033210123344449845,0.06488966372831188,0.031162463050449656,0.13138658094342792
27045,0.5814200632494398,0.036415327682558445,0.23306917907681132,0.024990013009383538,0.02549928487795078,0.030332989838587347,0.01871302654725997,0.049560115718008765
19805,0.23104162611302412,0.07663401461999919,0.16158646066621601,0.27761853645291484,0.03578490473821831,0.08037025738431086,0.027302031624036688,0.10966216840128007
26580,0.035801255047440875,0.3723534194761353,0.3438700359333618,0.028109250490159225,0.04409279364353391,0.08247777288670284,0.011398272655361079,0.08189719986730506
16886,0.1590547187817671,0.040417972751109435,0.6143444289806661,0.021890009232481515,0.03700610215429968,0.033094619416139816,0.017550256037598792,0.07664189264593746
27931,0.30535078571842184,0.06577166519826942,0.34707067392078433,0.033220989415653476,0.03865401106703229,0.09151435320525629,0.029544909787449843,0.08887261168713242
8977,0.27263301003533524,0.12256276500693353,0.2406592670466266,0.08159727781560201,0.03702943528259162,0.09794803688304915,0.02963199936510342,0.1179382085647584
20285,0.1377405903706022,0.08121326980396557,0.40035089595672946,0.04231232341146613,0.04417311135835467,0.07968049066810458,0.13344257954854236,0.08108673888223493
2427,0.213457289415717,0.20402551011659964,0.21998289125839088,0.027326503384735613,0.043034300972464225,0.03668151040644026,0.025529989307305972,0.22996200513834653
1324,0.3142952409660759,0.042054518555756065,0.45511963183121573,0.030935438095719175,0.05039426390724737,0.0398743361550224,0.018469783982628725,0.048856786506334696
25006,0.3079552646362421,0.08756280776868387,0.22782179834524688,0.040865277945621885,0.03600884462032307,0.0848462839509967,0.030291795444841448,0.1846479272880441
13134,0.40167568246916535,0.06971678463756668,0.21810724875773932,0.04899071034544973,0.040994634486179335,0.12112384007652222,0.02570306066406326,0.07368803856331409
11834,0.6284121546722815,0.037294871719662316,0.1346459117363803,0.05074515503915678,0.030359216406932277,0.034727031713774656,0.023843934001986457,0.05997172470982561
19930,0.32613546352292294,0.10618732787320205,0.22403602198756964,0.039740824514642656,0.03440880711850367,0.13561940346303514,0.026709158152594493,0.10716299336752941
12212,0.241027999477487,0.0402381138172854,0.3353928171398155,0.06367765780903895,0.11502425538817544,0.0832517994460062,0.021581803123273225,0.09980555379891837
14062,0.02301425092884354,0.008357651072055886,0.02091002670518412,0.005072769597478495,0.009284915149948825,0.005986452081681204,0.003775575598119512,0.9235983588666883
18965,0.24709712077593773,0.0555648667356596,0.3598401480586198,0.015397858087430686,0.031194185829507726,0.17951701244416232,0.011004552077108229,0.10038425599157386
10744,0.33845485253896734,0.07983760353657661,0.23922915762496172,0.0453825211583496,0.037646023644871886,0.14778973808600174,0.02414366652697176,0.08751643688329945
20664,0.20203270371993853,0.0837041955760354,0.3629556065729539,0.04409475573676431,0.04336243158056206,0.06487621187556541,0.11169018767746379,0.08728390726071669
